,url,price,beds,sqft,parking,baths,descript,adress,lat,lon,date,cats are OK - purrr,dogs are OK - wooof,air conditioning,furnished,w/d in unit,laundry on site,no laundry on site,no parking,off-street parking,detached garage,dpsf
7511566852,https://chicago.craigslist.org/chc/apa/d/chicago-renovated-humboldt-studios-on/7511566852.html,995,0,,street,1,"  Great studio available!     Property Address  1627 N. Humboldt | Chicago, IL 60647     Available: 08/01/2022    Offered By  M. Fishman & Co.     Description      Features here include air conditioning, great living space, and ample closets. WiFi included!  The building features laundry on site, as well as street parking, and walking distance to public transportation.  $350 move in fee, no security deposit. Multiple floor plans available - prices start @ $995!  Call or text Zach @ 224.770.0588!  Cats only please.  Our buildings feature on-site laundry, secure entryways and well-maintained landscaping.    Details  Beds/Baths: 1.0BA  Rental Terms  Rent: $995.00       Available: 08/01/2022     Application Fee: $50.00     Pet Policy  Cats allowed Dogs not allowed  ",1627 n humboldt blvd,41.910749,-87.70174,2022-07-21 10:53,1,0,0,0,0,1,0,1,0,0,
7511563903,https://chicago.craigslist.org/chc/apa/d/chicago-424-oakdale-in-lakeview-one-bed/7511563903.html,1445,1,,street,1,"Great One Bedroom with NO SECURITY DEPOSIT! Great apartment features free heat/cooking gas, spacious closets, hardwood floors, and laundry facilities on site. Near Sheridan Rd, Diversey, and Broadway streets surround this location offering great access to shopping, restaurants, and night life as well as several bus lines.   Apartments Available 9/1/2022 and priced at $1,445.00  To view the apartment, please contact Anvar at 773-491-2337 or 773-989-8000.  **Photos are representative**  Visit our website for more information www.aptrentals.com  No Security Deposit $400 Move in fee $75 Application per applicant and co-signer if required $100 Cat fee per cat  Property Managed by: Realty & Mortgage Co. 1509 W. Berwyn Ave., Suite #200 Chicago, IL 60640 Ph: 773-989-8000/ Fax: 773-989-6979 www.aptrentals.com ",Oakdale near Sheridan Rd,41.930954,-87.681627,2022-07-21 10:47,1,0,0,0,0,1,0,1,0,0,
7511563437,https://chicago.craigslist.org/chc/apa/d/chicago-424-oakdale-in-lakeview-studio/7511563437.html,1080,0,,street,1,"Great Studio with NO SECURITY DEPOSIT! Great apartment features free heat/cooking gas, spacious closets, hardwood floors, and laundry facilities on site. Near Sheridan Rd, Diversey, and Broadway streets surround this location offering great access to shopping, restaurants, and night life as well as several bus lines.   Apartment Available 9/1/22 and priced between $1,080.00-$1,200.00  **Photos are a representation**  To view the apartment, please contact Anvar at 773-491-2337.  Visit our website for more information www.aptrentals.com.  No Security Deposit $400 Move in fee $75 Application per applicant and co-signer if required $100 Cat fee per cat  Property Managed by: Realty & Mortgage Co. 1509 W. Berwyn Ave., Suite #200 Chicago, IL 60640 (P) 773-989-8000 (F) 773-989-6979 www.aptrentals.com ",Oakdale near Pine Grove,41.935032,-87.675855,2022-07-21 10:46,1,0,0,0,0,1,0,1,0,0,
7511555156,https://chicago.craigslist.org/chc/apa/d/chicago-affordable-logan-square-two/7511555156.html,1450,2,,street,1,"Call Apartment Guys at 773-549-3474 and ask for reference #2202720. Come check out this great 2 bed at an AWESOME price! This unit features hardwood floors, gas forced heat and air conditioning! In the kitchen, you can find good counter space, cabinets and a dishwasher and microwave. You’ll also enjoy a private deck! Cats ok!  ****Photos may be of a similar unit. *For faster response best to call or text 773-549-3474 with reference number #2202720 ",Fullerton near Oakley,41.924932,-87.685255,2022-07-21 10:30,1,0,0,0,0,1,0,1,0,0,
7511554059,https://chicago.craigslist.org/chc/apa/d/chicago-full-dining-living-room-space/7511554059.html,1250,1,,no,1,"Rare 1 plus den space. Call Apartment Guys at 773-549-3474 and ask for reference #2202723. This incredible apartment has a very large full living room and dining room, the kitchen features cabinets and a full pantry with tons of space to fill. The 1 Bedroom definitely fits queen size, the 2nd room would be a great office space. Call Apartment Guys at 773-549-3474 and ask for reference #2202723 . Pictures may not be of exact unit. Pricing subject to change. NO Laundry on site. Laundry mat ½ mile away. Prices are subject to change. *For faster response best to call or text 773-549-3474 with reference #2202723  ",W Fletcher near N Sacramento,41.9464,-87.7042,2022-07-21 10:28,1,0,0,0,0,0,1,1,0,0,
7511552540,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-newly-renovated-one/7511552540.html,1275,1,,street,1,"4506 N. Central Park / 3600 W. Sunnyside presents a great value for a brand new rehab in the middle of Albany Park. Features include new windows, hardwood floors, new kitchens, ceramic tile bathrooms and stainless steel appliances. Albany Park (which is becoming one of Chicago's hottest neighborhoods) boasts quiet tree lined streets, a neighborly feel, and access to a growing array of amenities.   You will love how easy it is to walk to everything living here. Park your car and only use it when you feel like going for a drive. You're close to the Brown Line, restaurants, parks and even the expressway.   Take a look. You won't be disappointed!    **Special Promotion - First Time Residents Only - No Move in Fee - with Lease signed by July 31,  2022**     **** Upcoming Apartments ****   One  Bedroom Unit.................Available Now  ............................................Rent Starting at  $1,275.00/Monthly      To schedule a visit, please call  John 773 365 9245 or the office 773 989 8000  ***Photos shown may not be of actual unit....This is an Amazing Unit....Don't miss out! ***   RENTAL FEATURES  _________________   - Hardwood floors   - Dishwasher  - Refrigerator   - Stove/Oven   - Microwave  - Stainless steel appliances   - Cable-ready   -Granite Countertops  LEASE TERMS  ______________   12 Month Lease  No Security Deposit  $75.00 Credit/Criminal Background Check Fee  (per person 18 over) $400.00 Move In Fee ** Non Aggressive - ONE Dog only - * Additional NON-REFUNDABLE pet fee of $250.00 & Additional $35.00 monthly (NOT Included in Rent)*      Utilities:  Free heat and hot water  Residents responsible for electric and cooking gas  Nearby Trains     Managed By; Realty & Mortgage Co 1509 W. Berwyn Ave. Suite 200 Chicago IL. 60640 (P) 773.989.8000 (F) 773.989.6979   Equal Housing Opportunity ",3610 W Sunnyside,41.962931,-87.718586,2022-07-21 10:25,1,1,0,0,0,1,0,1,0,0,
7511551167,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-newly-renovated-two/7511551167.html,1450,2,,street,1,"4506 N. Central Park / 3600 W. Sunnyside presents a great value for a brand new rehab in the middle of Albany Park. Features include new windows, hardwood floors, new kitchens, ceramic tile bathrooms and stainless steel appliances. Albany Park (which is becoming one of Chicago's hottest neighborhoods) boasts quiet tree lined streets, a neighborly feel, and access to a growing array of amenities.   You will love how easy it is to walk to everything living here. Park your car and only use it when you feel like going for a drive. You're close to the Brown Line, restaurants, parks and even the expressway.   Take a look. You won't be disappointed!       **Special Promotion - First Time Residents Only - No Move in Fee - with Lease signed by July 31,  2022**  **** Upcoming Apartments ****  Two Bedroom Unit.................Available Now .................Rent Starting at  $1,450.00 /Monthly      To schedule a visit, please call  John 773 365 9245 or the office 773 989 8000  ***Photos shown may not be of actual unit....This is an Amazing Unit....Don't miss out! ***   RENTAL FEATURES  _________________   - Hardwood floors   - Dishwasher  - Refrigerator   - Stove/Oven   - Microwave  - Stainless steel appliances   - Cable-ready   -Granite Countertops  LEASE TERMS  ______________   12 Month Lease  No Security Deposit  $75.00 Credit/Background Check Fee  (per person 18 over) $400.00 Move In Fee ** Non Aggressive - ONE Dog only - * Additional NON-REFUNDABLE pet fee  of $250.00 & Additional $35.00 monthly (NOT Included in Rent)*      Utilities:  Free heat and hot water  Residents responsible for electric and cooking gas  Nearby Trains     Managed By; Realty & Mortgage Co 1509 W. Berwyn Ave. Suite 200 Chicago IL. 60640 (P) 773.989.8000 (F) 773.989.6979   Equal Housing Opportunity ",3600  W  Sunnyside,41.962931,-87.718157,2022-07-21 10:22,1,0,0,0,0,1,0,1,0,0,
7511546572,https://chicago.craigslist.org/chc/apa/d/chicago-1826-patterson-unit/7511546572.html,3570,4,,off-street,4,"PROPERTY INFO ID: 238623374Rent: $3,570 / MonthBeds: 4Bath: 4Available Date: 08/01/2022Pet: Cats OnlyParking:: off-street parking  This four bedroom, four bathroom duplex apartment features a traditional decorative fireplace and a new, masterfully constructed wood staircase leading to the lower level of the unit. The kitchen will soon have a brand new grey shaker cabinets and beautiful granite countertops along with stainless steel appliances which opens to the living room. The lower level of the unit has an additional living room and two bedrooms. Natural, refinished woodwork graces the apartment throughout. The unit also has plenty of modern conveniences such as laundry in the unit, gas forced heat, and central air conditioning.  This charming greystone building is nestled on a quiet, tree lined street. The Addison CTA Brown Line is conveniently located less than one block away. Wrigley Field and its surrounding bars, restaurants and theaters are within easy reach (eight blocks east). Other Chicago neighborhoods, full of diverse activities and establishments, are easily accessible via Lincoln Avenue, these include: Lincoln Park, Lakeview, North Center, and Lincoln Square to name a few. Roscoe Village’s colorful clubs and bars are also just three blocks south. Parking is available at this location.  We offer a hassle-free full online leasing process featuring online applications, lease signing, and payment options.   FEATURESCentral AirDecorative FireplaceDishwasherGranite TopsHardwood FloorsLaundry in UnitOven/RangeRefrigerator  NO SECURITY DEPOSIT! $150.00 Application Fee Per Person $100.00 Move-in Fee Per Bedroom NO DOGS, Cats ok!  Advertised rent prices are subject to change without notice!  Chicago Apartment Place Inc. 773.472.3713     ",1826 West Patterson Ave near Lincoln Ave,41.948009,-87.675259,2022-07-21 10:13,1,0,0,0,1,0,0,0,1,0,
7511535785,https://chicago.craigslist.org/chc/apa/d/chicago-bedroom-and-bath-apartment-pet/7511535785.html,1835,2,,street,1,"BEAUTIFULLY DESIGNED OPEN LAYOUT WITH HARDWOOD FLOORS, A BARNYARD DOOR, NEW KITCHEN, STAINLESS STEEL APPLIANCES, IN-UNIT LAUNDRY, FRONT DOOR INTERCOM SYSTEM, SMART LOCKS AND MORE!!!  Great size bedrooms with large closets, Beautiful new floors throughout, one new luxury bathroom, plus a new kitchen with high-end white quartz countertops and stainless-steel appliances!  Lots of natural light and new windows throughout the apartment! Efficient management takes care of maintaining Lawn and snow shoveling.  New High-End Kitchen with White Shaker Cabinets, white quartz countertops, subway tile backsplash, Stainless Steel appliances and lots of charm.  This apartment is very unique because of the many closets/storage and fresh neutral paint colors.   The kitchen is perfect for cooking and dining. All new plumbing, electric, and much more. new rehab and has everything you would want from a home.  Only blocks from all restaurants, nightlife, shopping, Metra, Blue Line El, 606, and Humboldt Park.  Please note: We are not a rental agency, or a management company. We are the owners of this property, which means you may get better service, and more honest information. We have nearly 100 other apartments located all over Roscoe Village, Logan Square, Avondale, Bucktown, and East Humboldt Park. You can view them on our website which contains pictures, floor plans and lists of amenities: www.NXTRealty.com   Air conditioning, Cable-ready, Dishwasher, New floors, Heat-gas, In-unit Laundry, Microwave, Oven/Range, Pet Friendly, Refrigerator.  Nick Gasic Real Estate Broker NXT Realty ",2618 W Evergreen Ave,41.905714,-87.692696,2022-07-21 09:51,1,1,0,0,1,0,0,1,0,0,
7511528323,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-two-bedroom-units-troy/7511528323.html,1200,2,,street,1,"The apartments 2701 N. Troy / 3120 W. Schubert feature one and two bedroom layouts with many upgrades including new windows, hardwood floors, updated kitchens, and ceramic tile bathrooms. You'll love how easy it is to walk to everything in this hot Logan Square neighborhood. Park your car and only use it when you feel like going for a drive. You're within easy walking distance of the Blue Line, restaurants, parks, nightlife, and the expressway. There is even a Divvy bike station nearby, so commuters and hobbyists can make use of this popular bike sharing program. If you're looking for a great value in an awesome Logan Square location, give this property a try!     ***Upcoming Units ***  ****Tenant Pays Heat ****  Two  Bedroom Apartment - Available Now.................................Rent Starting at $1,200.00/Per Month     To make an appointment please call contact Eric 773 593 1147   or the office at 773 989 8000   ***Pictures shown may not be of actual unit available*** Don't miss out, make your appointment today!    LEASE TERMS:  *12 Month Lease **No Security Deposit ***$400.00 Move in Fee ****$75.00 Credit/ Background Check Fee (per Person Over the Age Of 18) *****NO DOGS     Managed By: Realty & Mortgage Co. 1509 W. Berwyn Ave., #200 Chicago, IL 60640 (P) 773-989-8000 (F) 773-989-6979   Equal Opportunity Housing ",2701 N  Troy St,41.930156,-87.706107,2022-07-21 09:34,0,0,0,0,0,0,1,1,0,0,
7511527525,https://chicago.craigslist.org/chc/apa/d/chicago-great-logan-square-apt-near/7511527525.html,2395,3,,street,1,"PROPERTY INFO ID: 275928130Rent: $2,395 / MonthBeds: 3Bath: 1Available Date: 09/01/2022Pet: Pet Friendly Great Logan Square apt near Blue Line!●Pet-friendly●On-Site W/D●Bike Storage●Wood flrs●Call today to schedule a private tour! FEATURESDishwasherHardwoodLaundryOutdoor SpacePatioRenovated  Daniel Ennion Broker 881730 Square One Realty hellosq1.com     ",2823 West Logan Blvd,41.928033,-87.698439,2022-07-21 09:33,1,1,0,0,0,1,0,1,0,0,
7511527002,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-bedroom-and-bath/7511527002.html,2470,3,1200.0,,2,"ABOUT THE FINISHES: WHAT MAKES THIS UNIT CONTEMPORARY? Fresh, neutral paint, engineered hardwood flooring, and recessed lighting throughout. The kitchen features new stainless steel appliances including a dishwasher, microwave, oven/range, and refrigerator. It is beautifully adorned with white quartz countertops, 42-inch white shaker wall cabinets, and ceramic white subway tile backsplash. Garbage disposal and an ice maker installed. Living room and all bedrooms are cable ready. New luxury bathrooms with beautiful ceramic white subway wall tiles and matte porcelain floor tiles.  In-unit washer and dryer. Central heat and air conditioning. Front door intercom system. Keyless entry. Porch right off of the kitchen. Amazon key installation (for safe delivery of packages).  ABOUT THE NEIGHBORHOOD: WHAT MAKES THIS LOCATION FAVORABLE? Very hip, safe and quiet area of Logan Square. A block away from Kosciuszko Park with a dog park. Great quite building in a nice residential area, but only blocks from all restaurants, nightlife, shopping, Metra, Blue Line El, HWY 90/94, and parks.  ABOUT THE COMPANY: WHAT MAKES US UNIQUE TO YOU? We own and manage this apartment so you won’t be dealing with a slow-to-respond third-party management company. We are responsive and care about the quality of the property since it's a part of the owner’s real estate portfolio. Plus, our fantastic management team will maintain your lawn care and shovel the snow. Our 24-hour online portal also allows tenants to submit any work order at any time with a quick response time from our office. Ultimately, we are truly committed to making your NXT apartment feel like home.  FEES Application Fee: $75/applicant Move-in Fee: $500 One-time Pet Fee: $250/pet Pet Rent: $25/month/pet Parking: $100/month  REQUIREMENTS 650+ credit score Combined income 3x’s the monthly rent  ADDITIONAL INFORMATION Pet-friendly. No security deposit. $500 move-in fee. Water, trash, and sewer included with rent. $75 application fee  Nick Gasic Real Estate Broker  NXT Realty ",2620 N Springfield,41.928419,-87.724357,2022-07-21 09:31,1,1,0,0,1,0,0,0,0,0,2.0583333333333336
7511504090,https://chicago.craigslist.org/chc/apa/d/chicago-bed-in-logan-square-great/7511504090.html,2795,2,,off-street,1,"PROPERTY INFO ID: 301169790Rent: $2,795 / MonthBeds: 2Bath: 1Available Date: 07/15/2022Pet: Pet FriendlyRent Includes:: WaterParking:: off-street parking One of a kind lofted unit located in a newly rehabbed historic bank building.   * Apartment features include kitchen with stainless steel GE appliance package including dishwasher and microwave, quartz counters, and custom cabinetry.  * Immaculate hardwood floors flow throughout the living space and bedrooms and are accented with exposed brick walls and high lofted ceilings.  * Unit also features central air and stackable laundry in-unit. *Vaulted Ceilings  *Modern  *Remote controlled skylights  *Unit only has skylights. No windows on the walls  Bedroom 1: 13' 10"" x 10 5""  Bedroom 2:  11' 6"" x 10' FEATURESCentral AirCentral HeatDishwasherDogs OkGut RehabMicrowaveModernModern BathroomModern KitchenNew AppliancesParking AvailableQuartz CountertopsSkylightsStainless Steel AppliancesStorage Unit     The Apartment Source Call or text: 773.404.9900     ",West Logan Blvd near California,41.928643,-87.697636,2022-07-21 08:36,1,1,0,0,1,0,0,0,1,0,
7511502457,https://chicago.craigslist.org/chc/apa/d/chicago-super-chic-storefront/7511502457.html,2250,2,1750.0,off-street,1,"*1750sf 2BR Live/Work Gallery Storefront Loft, Block to Blue Line,West Town**  *Super Chic Storefront Gallery!Live/Work 1750sf Bock BlueLineWestTown**  ***A Prime commercial location right at the Kennedy Expressway on Division Street.... in the heart of West Town & Wicker Park ***  1418 W. Division Street Storefront Gallery Lofty…  *A very grand space, steps from the Blue Line in Wicker Park one block from the Milwaukee, Division Ashland Triangle **** next to a very professional Hair Salon!  Very Very Secure Area ! Across the Street from the very influential Near North Montessori School at 1434 W. Division St.!  Now Just Look...  Unique and very special, and its just one block from the Blue Line in Wicker Park at the Milwaukee, Division Ashland Triangle ****  1418 W. Division Street Storefront Gallery   *** Available August 31, 2022 ****  at $ 2,250.00 net (no taxes, no additional assessments) , a very, very compelling deal for a Prime Division Street Storefront space....  Please call cell phone 773 726 2100 sheldon *** no texts please, voice only ***  Currently a Graphics Art Gallery, but this is the kind of place that is a Stunning Retail, Specialty Store, Professional Services Space, Professional Art Gallery, Clothing Apparel, Record/Music Store, Antique Gallery or Professional Live/Work space....lots of possibilities!  And Street parking is plentiful in the area.  The space features soaring 15 high foot ceilings and huge oversized full height Storefront Glass windows, with plenty of show floor space. Complementing these massive windows is lots of natural sunlight and stunning skyline views from windows inside the storefront loft.  A painted front adjacent mural fence which can be customized further highlights the space's physical presence.....  The space is divided into three large areas.....  the front of the space is a gigantic main gallery area, with a special feature.....a wonderful Art Deco Bar and Cabinets backdrop filled with beautiful lighted stained glass.  The middle area of the space is a more intimate and private area and an extension of the front gallery, which can be used special settings or events....  The back area of the space is a very large open with a huge elevated wooden lofted studio space .... that can double for a work studio, professional office, work space, or massive storage....  There’s plenty of electrical power with two 220Volt dedicated electrical line for specialized appliances. And in addition, there a dedicated water service line perfect for manufacturing needs…-  The space also feature very cool art deco lighting and wonderful storage throughout.  As a bonus, the space features a cool kitchen area nook with a nice frig with icemaker, gloss black Whirlpool kitchen stove , wood countertops, and Kohler double bowl stainless steel sink.  There is a Very Cool Dainty Bath with beautiful natural color granite title floors..........and an wonderful art deco bathtub on legs that has been wonderfully kept...  Topping off this very special storefront loft......is a beautiful outdoor patio and yard....that you can hold special events and has wonderful plant life with lots of shade from a large back yard tree...  The unit also has reserved parking available.  NO smoking please.  Come see this very special super chic storefront loft in the heart of Wicker Park, close to the loop, steps from the Blue Line El, 1 block to Kennedy today.  Cable and dsl ready.  Please call cell phone 773 726-2100 sheldon *** no texts please, voice only ***     ",Division near Cleaver,41.903443,-87.663217,2022-07-21 08:32,1,0,1,0,0,1,0,0,1,0,1.2857142857142856
